9150 20 1995  1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 0 0 1 0 1 --- 0.010634899139 --- hm: 244 cena: 1979 --- 0.000004053116
9151 20 2623  1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 --- 0.010755062103 --- hm: 214 cena: 2516 --- 0.000001907349
9152 20 2607  1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 --- 0.010792970657 --- hm: 233 cena: 2564 --- 0.000002861023
9153 20 2089  1 1 1 1 1 1 0 1 0 1 1 1 0 0 1 1 0 1 1 1 --- 0.010662078857 --- hm: 234 cena: 2044 --- 0.000002861023
9154 20 2062  1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 --- 0.010755062103 --- hm: 245 cena: 2062 --- 0.000002145767
9155 20 2723  1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 --- 0.010803937912 --- hm: 227 cena: 2696 --- 0.000001907349
9156 20 2193  1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 --- 0.010522127151 --- hm: 246 cena: 2193 --- 0.000001907349
9157 20 2992  1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 --- 0.010905027390 --- hm: 248 cena: 2992 --- 0.000001907349
9158 20 2197  0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 --- 0.010796070099 --- hm: 248 cena: 2197 --- 0.000001907349
9159 20 2551  1 1 1 1 1 0 1 0 1 1 1 0 0 1 1 1 1 1 1 0 --- 0.010782003403 --- hm: 235 cena: 2551 --- 0.000001907349
9160 20 2372  1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 --- 0.010744810104 --- hm: 249 cena: 2372 --- 0.000003099442
9161 20 2116  1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 0 1 1 --- 0.011018991470 --- hm: 238 cena: 2115 --- 0.000003099442
