6400 20 744 100 17 96 99 92 84 12 16 69 60 63 81 95 81 83 43 97 20 57 9 86 91 72 53 76 42 51 17 59 84 99 49 98 42 85 99 11 5 87 25
6401 20 771 87 86 89 68 99 61 40 97 94 22 63 65 95 44 91 81 98 29 88 63 92 84 42 9 70 24 90 67 28 5 93 90 79 1 96 51 72 49 37 34
6402 20 715 59 12 94 45 89 15 84 77 77 9 31 94 79 2 38 53 58 45 97 19 51 57 70 14 98 69 56 25 76 30 95 59 54 13 44 16 92 59 88 59
6403 20 751 51 18 97 73 36 53 86 81 42 28 95 38 81 97 38 23 83 30 92 39 79 34 94 5 34 95 90 20 99 44 84 9 64 76 96 48 70 37 91 51
6404 20 689 65 68 98 94 89 28 37 44 50 54 51 20 92 37 99 46 86 5 95 84 3 70 67 31 97 32 94 62 60 81 84 25 53 61 45 17 27 48 87 59
6405 20 733 88 34 98 30 94 55 42 96 82 51 54 67 80 47 99 69 97 82 89 51 85 98 93 79 43 47 3 46 63 85 57 94 70 29 96 41 47 62 87 39
6406 20 648 88 23 35 38 91 11 84 38 95 18 94 88 37 90 97 90 93 33 50 81 89 8 69 74 66 15 10 76 96 81 77 54 8 85 20 82 81 25 17 57
6407 20 797 93 34 84 55 88 84 97 91 76 19 44 23 72 41 20 12 71 22 92 74 81 69 98 34 87 43 89 82 99 11 95 83 58 63 96 48 74 18 80 61
6408 20 716 37 55 99 16 98 78 96 3 65 29 97 97 55 6 20 93 94 30 92 42 93 13 63 79 83 39 90 11 91 41 82 44 78 57 26 77 48 46 25 82
6409 20 674 97 29 99 33 85 17 79 32 21 81 96 60 45 14 95 8 4 30 56 8 62 52 58 27 91 32 98 46 47 2 69 22 39 97 94 2 41 16 72 30
6410 20 693 65 38 95 2 34 34 96 70 81 32 84 94 91 29 79 59 98 84 94 80 29 8 47 83 27 94 97 2 36 4 78 42 8 76 99 72 77 48 72 48
6411 20 794 64 68 63 66 92 33 80 45 62 65 82 56 89 7 56 30 98 47 83 16 94 35 87 61 85 52 88 53 99 55 93 64 37 1 95 16 68 7 74 100
6412 20 710 91 60 43 75 44 86 87 33 98 54 99 96 22 14 97 66 93 97 89 18 83 69 33 44 41 2 94 80 50 71 70 77 95 51 38 10 96 71 58 47
6413 20 629 60 34 94 31 51 37 86 71 78 13 38 75 81 58 88 20 96 85 97 6 91 35 61 7 92 78 71 83 24 55 11 25 99 41 3 9 1 97 37 12
6414 20 697 67 66 93 6 99 39 38 70 88 84 98 91 12 96 7 83 90 97 84 19 55 30 81 59 95 9 75 13 96 62 97 1 33 21 71 19 92 47 23 78
6415 20 686 61 60 16 70 98 10 80 12 95 40 50 4 93 54 81 3 66 51 70 87 33 11 57 91 92 98 99 67 17 99 29 19 96 45 78 96 94 92 67 7
6416 20 797 79 60 98 90 86 24 93 35 92 23 83 64 58 31 78 85 96 18 89 67 77 1 95 96 97 59 99 84 65 86 67 6 94 24 6 99 73 68 70 49
6417 20 704 79 94 97 42 47 79 19 11 41 85 24 84 99 33 95 56 78 87 81 86 87 27 57 35 91 15 98 80 85 86 30 9 73 37 96 40 92 22 40 24
6418 20 766 63 92 97 40 20 30 96 50 98 18 91 79 89 9 41 59 81 43 87 5 94 17 48 22 62 12 85 94 50 56 84 68 95 86 99 94 59 69 93 7
6419 20 758 72 67 79 72 85 67 47 15 98 69 90 44 56 18 86 66 99 51 88 38 93 68 59 8 96 19 89 54 94 1 29 85 84 52 54 88 22 62 97 54
6420 20 767 89 78 74 95 64 66 87 44 98 4 70 92 97 91 68 18 99 48 92 3 90 57 41 63 94 16 79 86 76 86 65 76 28 77 93 55 46 74 85 30
6421 20 768 99 9 96 93 92 24 98 59 52 19 20 97 95 52 89 63 79 12 85 70 88 8 93 77 83 9 84 39 90 18 82 11 87 64 14 91 80 49 31 18
6422 20 670 95 28 82 46 79 63 29 35 99 86 98 31 94 42 18 34 42 48 97 47 96 96 89 38 69 100 26 66 75 51 55 21 10 95 88 75 8 14 91 67
6423 20 682 47 84 7 6 84 98 81 4 95 50 59 61 38 31 94 61 99 77 36 60 85 92 93 67 6 54 40 59 98 72 64 47 96 60 92 88 83 95 67 86
6424 20 739 95 29 45 88 59 94 75 69 93 2 99 4 67 84 82 48 90 73 81 68 85 12 70 73 54 25 55 99 31 21 92 17 98 62 88 51 71 47 48 73
