9350 30 2875  1 0 1 1 1 1 1 0 0 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 --- 11.127836942673 --- hm: 393 cena: 2875 --- 0.000005960464
9351 30 3327  0 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 0 1 0 1 0 1 1 0 --- 11.219101905823 --- hm: 391 cena: 3290 --- 0.000003814697
9352 30 3463  1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 0 1 0 1 1 1 1 0 0 --- 11.086571931839 --- hm: 394 cena: 3456 --- 0.000004053116
9353 30 3987  0 0 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 --- 11.234093189240 --- hm: 391 cena: 3952 --- 0.000003099442
9354 30 3771  1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 0 1 1 1 0 --- 11.217406034470 --- hm: 384 cena: 3752 --- 0.000004053116
9355 30 3968  1 1 1 1 1 1 1 1 0 0 1 0 1 0 0 1 1 0 1 1 1 1 1 1 0 1 1 1 0 1 --- 11.228682994843 --- hm: 390 cena: 3935 --- 0.000003814697
9356 30 3757  0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 --- 11.002394914627 --- hm: 387 cena: 3753 --- 0.000003814697
9357 30 3659  1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 0 1 1 0 1 1 0 --- 11.120841026306 --- hm: 392 cena: 3595 --- 0.000003099442
9358 30 3773  1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 1 1 1 --- 11.204856157303 --- hm: 391 cena: 3761 --- 0.000004053116
9359 30 3786  1 0 0 1 1 1 0 1 1 1 1 1 0 0 1 1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 --- 11.102663993835 --- hm: 396 cena: 3786 --- 0.000003814697
9360 30 3206  1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 0 1 1 1 0 1 1 0 --- 11.274405002594 --- hm: 393 cena: 3202 --- 0.000004053116
9361 30 4039  1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 --- 11.265284061432 --- hm: 398 cena: 4039 --- 0.000004053116
9362 30 3059  1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 0 1 1 0 1 0 --- 11.255006074905 --- hm: 387 cena: 3054 --- 0.000004053116
9363 30 3255  1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1 0 --- 11.070839881897 --- hm: 386 cena: 3236 --- 0.000004053116
9364 30 2965  1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 1 0 0 1 0 1 0 1 1 1 1 1 1 1 --- 11.250783920288 --- hm: 399 cena: 2965 --- 0.000005006790
9365 30 3447  1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 0 1 1 0 1 1 0 --- 11.239567995071 --- hm: 384 cena: 3423 --- 0.000002861023
9366 30 3456  1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 0 1 --- 11.066362142563 --- hm: 399 cena: 3456 --- 0.000003099442
9367 30 3478  1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 1 0 1 --- 11.278120994568 --- hm: 399 cena: 3478 --- 0.000003814697
9368 30 3272  1 1 1 1 0 1 1 1 0 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 --- 11.150120973587 --- hm: 397 cena: 3272 --- 0.000004053116
9369 30 4382  1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 0 0 1 1 1 1 0 --- 11.272639989853 --- hm: 393 cena: 4382 --- 0.000002861023
9370 30 4013  1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 --- 11.292000055313 --- hm: 398 cena: 3954 --- 0.000004053116
9371 30 3738  1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 0 1 1 0 1 1 1 0 1 1 --- 11.206315994263 --- hm: 392 cena: 3731 --- 0.000003814697
9372 30 3860  1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 --- 11.206828832626 --- hm: 379 cena: 3855 --- 0.000003814697
9373 30 3399  1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 0 0 1 0 1 0 1 --- 10.936033010483 --- hm: 385 cena: 3358 --- 0.000004053116
9374 30 3302  1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 0 0 1 1 --- 11.119503974915 --- hm: 397 cena: 3302 --- 0.000003099442
